Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;02-07-2024;20.84;2.14;0.2293; ;22.98;379.16;
2;02-08-2024;21.70;1.28;0.2293; ;22.98;357.46;
3;02-09-2024;21.77;1.21;0.2293; ;22.98;335.69;
4;02-10-2024;21.88;1.10;0.2293; ;22.98;313.81;
5;04-11-2024;21.85;1.13;0.2293; ;22.98;291.96;
6;02-12-2024;22.09;0.89;0.2293; ;22.98;269.87;
7;02-01-2025;22.07;0.91;0.2293; ;22.98;247.80;
8;03-02-2025;22.11;0.87;0.2293; ;22.98;225.69;
9;03-03-2025;22.29;0.69;0.2293; ;22.98;203.40;
10;02-04-2025;22.31;0.67;0.2293; ;22.98;181.09;
11;02-05-2025;22.39;0.59;0.2293; ;22.98;158.70;
12;02-06-2025;22.44;0.54;0.2293; ;22.98;136.26;
13;02-07-2025;22.53;0.45;0.2293; ;22.98;113.73;
14;04-08-2025;22.57;0.41;0.2293; ;22.98;91.16;
15;02-09-2025;22.69;0.29;0.2293; ;22.98;68.47;
16;02-10-2025;22.76;0.22;0.2293; ;22.98;45.71;
17;03-11-2025;22.82;0.16;0.2293; ;22.98;22.89;
18;02-12-2025;22.89;0.07;0.2293; ;22.96;0.00;
