Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;03-06-2024;177.21;20.17;1.38152; ;197.38;4322.79;
2;01-07-2024;180.94;16.44;1.38152; ;197.38;4141.85;
3;01-08-2024;179.94;17.44;1.38152; ;197.38;3961.91;
4;02-09-2024;180.16;17.22;1.38152; ;197.38;3781.75;
5;01-10-2024;182.49;14.89;1.38152; ;197.38;3599.26;
6;04-11-2024;180.76;16.62;1.38152; ;197.38;3418.50;
7;02-12-2024;184.38;13.00;1.38152; ;197.38;3234.12;
8;02-01-2025;183.76;13.62;1.38152; ;197.38;3050.36;
9;03-02-2025;184.12;13.26;1.38152; ;197.38;2866.24;
10;03-03-2025;186.48;10.90;1.38152; ;197.38;2679.76;
11;01-04-2025;186.83;10.55;1.38152; ;197.38;2492.93;
12;02-05-2025;186.88;10.50;1.38152; ;197.38;2306.05;
13;02-06-2025;187.67;9.71;1.38152; ;197.38;2118.38;
14;01-07-2025;189.04;8.34;1.38152; ;197.38;1929.34;
15;01-08-2025;189.26;8.12;1.38152; ;197.38;1740.08;
16;01-09-2025;190.05;7.33;1.38152; ;197.38;1550.03;
17;01-10-2025;191.06;6.32;1.38152; ;197.38;1358.97;
18;03-11-2025;191.29;6.09;1.38152; ;197.38;1167.68;
19;01-12-2025;192.94;4.44;1.38152; ;197.38;974.74;
20;02-01-2026;193.14;4.24;1.38152; ;197.38;781.60;
21;02-02-2026;194.09;3.29;1.38152; ;197.38;587.51;
22;02-03-2026;195.15;2.23;1.38152; ;197.38;392.36;
23;01-04-2026;195.78;1.60;1.38152; ;197.38;196.58;
24;04-05-2026;196.58;0.88;1.38152; ;197.46;0.00;
