Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;06-05-2024;39.34;1.40;0.4074; ;40.74;360.66;
2;04-06-2024;39.60;1.14;0.4074; ;40.74;321.06;
3;04-07-2024;39.69;1.05;0.4074; ;40.74;281.37;
4;05-08-2024;39.76;0.98;0.4074; ;40.74;241.61;
5;04-09-2024;39.95;0.79;0.4074; ;40.74;201.66;
6;04-10-2024;40.08;0.66;0.4074; ;40.74;161.58;
7;04-11-2024;40.19;0.55;0.4074; ;40.74;121.39;
8;04-12-2024;40.34;0.40;0.4074; ;40.74;81.05;
9;06-01-2025;40.45;0.29;0.4074; ;40.74;40.60;
10;04-02-2025;40.60;0.13;0.4074; ;40.73;0.00;
