Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;07-12-2020;113.99;59.19;1.20813; ;173.18;7386.01;
2;05-01-2021;144.09;29.09;1.20813; ;173.18;7241.92;
3;05-02-2021;142.69;30.49;1.20813; ;173.18;7099.23;
4;05-03-2021;146.19;26.99;1.20813; ;173.18;6953.04;
5;05-04-2021;143.91;29.27;1.20813; ;173.18;6809.13;
6;05-05-2021;145.44;27.74;1.20813; ;173.18;6663.69;
7;07-06-2021;143.31;29.87;1.20813; ;173.18;6520.38;
8;05-07-2021;148.39;24.79;1.20813; ;173.18;6371.99;
9;05-08-2021;146.35;26.83;1.20813; ;173.18;6225.64;
10;06-09-2021;146.12;27.06;1.20813; ;173.18;6079.52;
11;05-10-2021;149.24;23.94;1.20813; ;173.18;5930.28;
12;05-11-2021;148.21;24.97;1.20813; ;173.18;5782.07;
13;06-12-2021;148.84;24.34;1.20813; ;173.18;5633.23;
14;05-01-2022;150.23;22.95;1.20813; ;173.18;5483.00;
15;07-02-2022;148.60;24.58;1.20813; ;173.18;5334.40;
16;07-03-2022;152.90;20.28;1.20813; ;173.18;5181.50;
17;05-04-2022;152.77;20.41;1.20813; ;173.18;5028.73;
18;05-05-2022;152.69;20.49;1.20813; ;173.18;4876.04;
19;06-06-2022;151.99;21.19;1.20813; ;173.18;4724.05;
20;05-07-2022;154.58;18.60;1.20813; ;173.18;4569.47;
21;05-08-2022;153.94;19.24;1.20813; ;173.18;4415.53;
22;05-09-2022;154.59;18.59;1.20813; ;173.18;4260.94;
23;05-10-2022;155.82;17.36;1.20813; ;173.18;4105.12;
24;07-11-2022;154.78;18.40;1.20813; ;173.18;3950.34;
25;05-12-2022;158.16;15.02;1.20813; ;173.18;3792.18;
26;05-01-2023;157.21;15.97;1.20813; ;173.18;3634.97;
27;06-02-2023;157.38;15.80;1.20813; ;173.18;3477.59;
28;06-03-2023;159.96;13.22;1.20813; ;173.18;3317.63;
29;05-04-2023;159.66;13.52;1.20813; ;173.18;3157.97;
30;05-05-2023;160.31;12.87;1.20813; ;173.18;2997.66;
31;05-06-2023;160.56;12.62;1.20813; ;173.18;2837.10;
32;05-07-2023;161.62;11.56;1.20813; ;173.18;2675.48;
33;07-08-2023;161.19;11.99;1.20813; ;173.18;2514.29;
34;05-09-2023;163.28;9.90;1.20813; ;173.18;2351.01;
35;05-10-2023;163.60;9.58;1.20813; ;173.18;2187.41;
36;06-11-2023;163.67;9.51;1.20813; ;173.18;2023.74;
37;05-12-2023;165.21;7.97;1.20813; ;173.18;1858.53;
38;05-01-2024;165.36;7.82;1.20813; ;173.18;1693.17;
39;05-02-2024;166.05;7.13;1.20813; ;173.18;1527.12;
40;05-03-2024;167.17;6.01;1.20813; ;173.18;1359.95;
41;05-04-2024;167.45;5.73;1.20813; ;173.18;1192.50;
42;06-05-2024;168.16;5.02;1.20813; ;173.18;1024.34;
43;05-06-2024;169.01;4.17;1.20813; ;173.18;855.33;
44;05-07-2024;169.70;3.48;1.20813; ;173.18;685.63;
45;05-08-2024;170.29;2.89;1.20813; ;173.18;515.34;
46;05-09-2024;171.01;2.17;1.20813; ;173.18;344.33;
47;07-10-2024;171.68;1.50;1.20813; ;173.18;172.65;
48;05-11-2024;172.65;0.68;1.20813; ;173.33;0.00;
