Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;05/12/2024;106.33;26.8;0.90503;0;134.03503;4245.96497;
2;06/01/2025;118.2;14.93;0.90503;0;134.03503;4111.92994;
3;05/02/2025;119.53;13.6;0.90503;0;134.03503;3977.89491;
4;05/03/2025;120.8;12.33;0.90503;0;134.03503;3843.85988;
5;07/04/2025;119.03;14.1;0.90503;0;134.03503;3709.82485;
6;02/05/2025;121.53;11.6;0.90503;1.68077;132.35426;3575.78982;
7;02/06/2025;120.7;12.43;0.90503;1.68077;132.35426;3441.75479;
8;07/07/2025;120.72;12.41;0.90503;0;134.03503;3307.71976;
9;05/08/2025;122.27;10.86;0.90503;0;134.03503;3173.68473;
10;05/09/2025;121.93;11.2;0.90503;0;134.03503;3039.6497;
11;06/10/2025;122.34;10.79;0.90503;0;134.03503;2905.61467;
12;02/11/2025;123.09;10.04;0.90503;1.68077;132.35426;2773.26041;
13;02/12/2025;123.49;9.64;0.90503;1.68077;132.35426;2640.90615;
14;02/01/2026;123.59;9.54;0.90503;1.68077;132.35426;2508.55189;
15;05/02/2026;124.01;9.12;0.90503;0;134.03503;2374.51686;
16;05/03/2026;125.27;7.86;0.90503;0;134.03503;2240.48183;
17;06/04/2026;124.58;8.55;0.90503;0;134.03503;2106.4468;
18;05/05/2026;125.78;7.35;0.90503;0;134.03503;1972.41177;
19;05/06/2026;125.70;7.43;0.90503;0;134.03503;1838.37674;
20;06/07/2026;126.12;7.01;0.90503;0;134.03503;1704.34171;
21;05/08/2026;126.76;6.37;0.90503;0;134.03503;1570.30668;
22;07/09/2026;126.58;6.55;0.90503;0;134.03503;1436.27165;
23;05/10/2026;127.96;5.17;0.90503;0;134.03503;1302.23662;
24;05/11/2026;127.84;5.29;0.90503;0;134.03503;1168.20159;
25;07/12/2026;128.12;5.01;0.90503;0;134.03503;1034.16656;
26;05/01/2027;128.99;4.14;0.90503;0;134.03503;900.13153;
27;05/02/2027;129.14;3.99;0.90503;0;134.03503;766.0965;
28;05/03/2027;129.92;3.21;0.90503;0;134.03503;632.06147;
29;05/04/2027;130.02;3.11;0.90503;0;134.03503;498.02644;
30;05/05/2027;130.54;2.59;0.90503;0;134.03503;363.99141;
31;07/06/2027;130.76;2.37;0.90503;0;134.03503;229.95638;
32;02/07/2027;131.52;1.61;0.90503;1.68077;132.35426;97.63212;
33;02/08/2027;131.79;1.34;0.90503;1.68077;132.35426;0;
