Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;05/02/2024;269.17;17.46;2.00648;0;288.63648;4711.36352;
2;01/03/2024;272.18;14.45;2.00648;3.72632;284.91016;4426.45336;
3;01/04/2024;271.55;15.08;2.00648;3.72632;284.91016;4141.5432;
4;06/05/2024;272.01;14.62;2.00648;0;288.63648;3852.90672;
5;04/06/2024;274.24;12.39;2.00648;0;288.63648;3564.27024;
6;04/07/2024;274.71;11.92;2.00648;0;288.63648;3275.63376;
7;05/08/2024;274.87;11.76;2.00648;0;288.63648;2986.99728;
8;04/09/2024;276.51;10.12;2.00648;0;288.63648;2698.3608;
9;04/10/2024;277.42;09.21;2.00648;0;288.63648;2409.72432;
10;04/11/2024;278.05;08.58;2.00648;0;288.63648;2121.08784;
11;04/12/2024;279.23;07.40;2.00648;0;288.63648;1832.45136;
12;06/01/2025;279.50;07.13;2.00648;0;288.63648;1543.81488;
13;04/02/2025;281.25;05.38;2.00648;0;288.63648;1255.1784;
14;01/03/2025;282.29;04.34;2.00648;3.72632;284.91016;970.26824;
15;01/04/2025;282.78;03.85;2.00648;3.72632;284.91016;685.35808;
16;05/05/2025;283.74;02.89;2.00648;0;288.63648;396.7216;
17;04/06/2025;284.76;01.87;2.00648;0;288.63648;108.08512;
18;04/07/2025;285.75;00.94;2.00648;0;288.63648;0;
