Mes;Fecha de pago;Amortizacion;Interes;Comision;Descuento;Cuota;Saldo;Estado
1;03-04-2023;181.16;21.41;1.41533; ;202.57;3318.84;
2;02-05-2023;189.50;13.07;1.41533; ;202.57;3129.34;
3;02-06-2023;189.39;13.18;1.41533; ;202.57;2939.95;
4;03-07-2023;190.19;12.38;1.41533; ;202.57;2749.76;
5;02-08-2023;191.37;11.20;1.41533; ;202.57;2558.39;
6;04-09-2023;191.10;11.47;1.41533; ;202.57;2367.29;
7;02-10-2023;193.57;9.00;1.41533; ;202.57;2173.72;
8;02-11-2023;193.42;9.15;1.41533; ;202.57;1980.30;
9;04-12-2023;193.96;8.61;1.41533; ;202.57;1786.34;
10;02-01-2024;195.54;7.03;1.41533; ;202.57;1590.80;
11;02-02-2024;195.87;6.70;1.41533; ;202.57;1394.93;
12;04-03-2024;196.70;5.87;1.41533; ;202.57;1198.23;
13;02-04-2024;197.85;4.72;1.41533; ;202.57;1000.38;
14;02-05-2024;198.49;4.08;1.41533; ;202.57;801.89;
15;03-06-2024;199.08;3.49;1.41533; ;202.57;602.81;
16;02-07-2024;200.20;2.37;1.41533; ;202.57;402.61;
17;02-08-2024;200.87;1.70;1.41533; ;202.57;201.74;
18;02-09-2024;201.74;0.85;1.41533; ;202.59;0.00;
